Entidad,Latitud,Longitud
Aguascalientes,21.77111,-102.35861
Morelos,18.94315,-99.30873
Sinaloa,24.59119,-107.39151
Baja California,32.61327,-115.34228
Durango,24.05718,-104.53320
Nayarit,21.69107,-105.08841
Sonora,	29.08919,-110.96133
Baja California Sur,24.07250,-110.36222
Guanajuato,21.07784,-101.25289
Nuevo León,25.67693,-100.31370
Tabasco,17.98689,-92.93028
Campeche,19.48657,-90.37322
Guerrero,17.36164,-99.46573
Oaxaca,17.11867,-96.76070
Tamaulipas,23.74174,-99.14599
Chiapas,16.71165,-93.11121
Hidalgo,20.79916,-103.47140
Puebla,18.95652,-98.18664
Tlaxcala,19.32226,-98.23010
Chihuahua,28.15096,-106.21278
Jalisco,20.67663,-103.34616
Querétaro,20.72682,-100.45296
Veracruz de Ignacio de la Llave,19.57105,-96.83564
Coahuila de Zaragoza,25.23892,-103.18592
Quintana Roo,18.493889,-88.297899
Yucatán,21.04023,-89.56206
Colima,19.14736,-103.72244
Michoacán de Ocampo,19.69950,-101.26428
San Luis Potosí,22.24988,-101.23564
Zacatecas,22.77093,-102.58325
Ciudad de México,19.42847,-99.12766
México,19.292222,-99.653889
